# {"t_start": 1558624500.1182334, "env_id": "HalfCheetah-v3"} 
r,l,t
3696.457028,1000,7296.394965
2838.273295,1000,7298.864735
3951.137246,1000,7305.695453
2161.197074,1000,7308.064817
3248.689173,1000,7314.55524
3922.703291,1000,7316.865082
3802.456947,1000,7323.590666
3104.751457,1000,7326.058873
2838.249243,1000,7332.580549
3787.374876,1000,7334.892824
3836.045584,1000,7341.4823
4025.958559,1000,7343.729845
3581.343772,1000,7350.135213
4026.016837,1000,7352.451682
3917.64631,1000,7359.021832
3754.250221,1000,7361.484685
4182.048159,1000,7368.074801
3862.737053,1000,7370.436546
4032.077494,1000,7377.003935
3782.077052,1000,7379.329699
3779.03813,1000,7385.972582
3615.992469,1000,7388.444052
3901.990533,1000,7395.049946
4032.402921,1000,7397.443486
3648.528222,1000,7403.975325
4115.196741,1000,7406.35348
3593.224276,1000,7413.006468
3875.158953,1000,7415.224181
3819.161507,1000,7422.033076
3914.011154,1000,7424.495642
3739.090508,1000,7431.009717
3195.170447,1000,7433.215301
3901.776891,1000,7439.840983
3586.30054,1000,7442.233048
3295.92235,1000,7448.932177
2621.715851,1000,7451.410139
3258.24535,1000,7457.967492
3787.051088,1000,7460.11011
3929.116171,1000,7466.828503
3757.839268,1000,7469.15722
3505.220363,1000,7475.722605
3376.607453,1000,7478.192045
3806.900921,1000,7484.842238
3091.969825,1000,7487.294088
3860.0222,1000,7494.050538
3858.087516,1000,7496.492605
3601.154636,1000,7503.197247
3775.897383,1000,7505.595245
4226.634104,1000,7512.330671
3289.501344,1000,7514.509297
3476.119541,1000,7521.255935
3994.99076,1000,7523.492672
4233.688382,1000,7530.109524
3922.771366,1000,7532.461383
3264.55832,1000,7539.130324
3518.209324,1000,7541.391212
3531.817451,1000,7548.163475
3451.902295,1000,7550.66049
4438.328995,1000,7557.509481
3104.576985,1000,7559.970372
3871.394873,1000,7566.625843
3526.102697,1000,7568.925433
3097.355099,1000,7575.486886
3892.129648,1000,7577.707941
3497.261931,1000,7584.373051
3736.484386,1000,7586.623097
3565.323586,1000,7593.258101
3803.89352,1000,7595.677565
3585.378602,1000,7602.332533
3780.647124,1000,7604.509088
3322.512548,1000,7611.147285
3307.485359,1000,7613.456811
3117.468361,1000,7620.249732
2948.682361,1000,7622.585842
3474.425343,1000,7629.433755
3214.448225,1000,7631.677266
3915.007167,1000,7638.507394
3938.00434,1000,7640.82375
3567.235333,1000,7647.647553
3884.327606,1000,7650.067732
3899.769985,1000,7656.903835
3784.635503,1000,7659.110647
4134.5472,1000,7665.91753
3569.815667,1000,7668.34323
3322.691096,1000,7675.213099
4077.194897,1000,7677.711475
3417.817756,1000,7684.55342
3707.887286,1000,7686.932132
3332.114278,1000,7693.58771
3824.306043,1000,7696.066746
3684.942336,1000,7702.912472
3776.254543,1000,7705.082294
3335.068016,1000,7711.837931
3689.953479,1000,7714.070478
